Date,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2026-01-01,3.36,17.82,7.71,47.09,4.33,0.81
2026-01-02,5.77,16.77,9.18,47.06,2.16,0.84
2026-01-03,4.41,16.53,8.22,47.12,1.45,0.34
2026-01-04,6.64,16.70,17.52,47.14,2.17,0.09
2026-01-05,60.72,22.84,53.41,47.12,1.87,0.12
2026-01-06,56.09,27.35,50.03,47.09,1.62,0.21
2026-01-07,30.12,23.42,46.96,47.11,2.10,0.36
2026-01-08,44.12,23.28,48.34,47.06,0.42,1.09
2026-01-09,22.03,23.21,42.65,46.97,1.83,1.49
2026-01-10,7.02,19.44,29.30,47.13,0.68,1.27
2026-01-11,3.78,16.12,14.17,47.13,0.90,0.26
2026-01-12,41.02,23.22,50.93,47.10,1.18,1.03
2026-01-13,38.94,26.01,47.42,47.08,2.45,1.26
2026-01-14,28.74,24.21,38.73,47.08,3.67,0.97
2026-01-15,23.05,23.65,43.01,47.04,4.09,0.95
2026-01-16,26.07,23.55,40.25,47.13,3.50,0.69
2026-01-17,7.53,18.10,15.56,47.12,2.86,0.65
2026-01-18,4.67,17.07,10.25,45.45,2.19,0.56
2026-01-19,22.62,19.55,31.41,47.11,3.06,0.38
2026-01-20,27.65,22.05,37.48,47.12,3.93,0.50
2026-01-21,38.88,22.67,46.66,47.12,4.30,0.26
2026-01-22,40.05,25.29,47.19,47.11,3.32,0.15
2026-01-23,40.17,24.53,45.46,47.12,2.93,0.41
2026-01-24,9.19,18.98,21.24,47.12,2.27,0.24
2026-01-25,2.84,16.47,11.24,47.12,3.20,0.15
2026-01-26,31.90,21.70,35.65,47.07,3.41,0.35
2026-01-27,27.25,22.46,30.94,47.12,3.18,1.45
2026-01-28,29.84,23.88,35.55,47.09,1.12,0.19
2026-01-29,38.85,24.77,36.54,47.06,3.15,0.18
2026-01-30,21.90,21.75,28.71,47.10,1.98,0.65
2026-01-31,4.82,18.36,11.26,47.11,3.03,0.09
