Date,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore,SFOE Kernkraft,ENTSOE Nuclear,SFOE Photovoltaik,ENTSOE Solar,SFOE Wind,ENTSOE Wind,SFOE Flusskraft,ENTSOE Run-of-river,SFOE Speicherkraft,ENTSOE Reservoir,SFOE Thermische,ENTSOE Pumped,Flusskraft_Scale,Speicherkraft_Scale,Total_ENTSOE,Total_SFOE,Total_Scale
2026-01-01,3.36,18,25.5,47.09,4.33,0.81,47,47.09,11.40,4.33,0.80,0.81,18,17.82,25.50,7.71,11.30,3.36,1.0101010101010102,3.307392996108949,77.76,102.7,1.320730452674897
2026-01-02,5.77,17.3,27.2,47.06,2.16,0.84,46.90,47.06,5.70,2.16,0.90,0.84,17.30,16.77,27.20,9.18,11.30,5.77,1.0316040548598688,2.962962962962963,76.01,98.00000000000001,1.2893040389422445
2026-01-03,4.41,16.9,24.3,47.12,1.45,0.34,47,47.12,3.80,1.45,0.30,0.34,16.90,16.53,24.30,8.22,11.30,4.41,1.0223835450695704,2.9562043795620436,73.66000000000001,92.3,1.253054575074667
2026-01-04,6.64,17.7,27.9,47.14,2.17,0.09,47,47.14,5.70,2.17,0.10,0.09,17.70,16.70,27.90,17.52,11.30,6.64,1.0598802395209581,1.5924657534246576,83.62,98.39999999999999,1.17675197321215
2026-01-05,60.72,25.3,140.3,47.12,1.87,0.12,47,47.12,4.90,1.87,0.10,0.12,25.30,22.84,140.30,53.41,11.30,60.72,1.1077057793345009,2.6268489046994947,125.36000000000001,217.60000000000002,1.7358008934269304
2026-01-06,56.09,28.9,130.5,47.09,1.62,0.21,47,47.09,4.20,1.62,0.20,0.21,28.90,27.35,130.50,50.03,11.30,56.09,1.0566727605118829,2.608434939036578,126.3,210.79999999999998,1.6690419635787805
2026-01-07,30.12,25.5,95.7,47.11,2.10,0.36,47,47.11,5.50,2.10,0.30,0.36,25.50,23.42,95.70,46.96,11.30,30.12,1.0888129803586677,2.0379045996592846,119.94999999999999,174,1.4506044185077116
2026-01-08,44.12,25.7,116.7,47.06,0.42,1.09,46.90,47.06,1.10,0.42,1,1.09,25.70,23.28,116.70,48.34,11.30,44.12,1.1039518900343641,2.41414977244518,120.19000000000001,191.4,1.5924785755886512
2026-01-09,22.03,24.999999999999996,79.7,46.97,1.83,1.49,46.80,46.97,4.80,1.83,1.50,1.49,25,23.21,79.70,42.65,11.30,22.03,1.0771219302024988,1.8686987104337633,116.14999999999999,157.8,1.3585880327163153
2026-01-10,7.02,20.4,47.1,47.13,0.68,1.27,47,47.13,1.80,0.68,1.30,1.27,20.40,19.44,47.10,29.30,11.30,7.02,1.0493827160493825,1.6075085324232081,97.82000000000001,117.6,1.2022081373952156
2026-01-11,3.78,17.3,24.9,47.13,0.90,0.26,47,47.13,2.40,0.90,0.30,0.26,17.30,16.12,24.90,14.17,11.30,3.78,1.0732009925558312,1.7572335920959774,78.58000000000001,91.9,1.1695087808602698
2026-01-12,41.02,25.6,111.3,47.10,1.18,1.03,47,47.10,3.10,1.18,1,1.03,25.60,23.22,111.30,50.93,11.30,41.02,1.1024978466838933,2.18535244453171,123.46000000000001,188,1.522760408229386
2026-01-13,38.94,29.4,101.79999999999998,47.08,2.45,1.26,46.90,47.08,6.40,2.45,1.20,1.26,29.40,26.01,101.80,47.42,11.30,38.94,1.1303344867358707,2.1467735132855332,124.22000000000001,185.7,1.4949283529222346
2026-01-14,28.74,26.8,84.9,47.08,3.67,0.97,46.90,47.08,9.60,3.67,1,0.97,26.80,24.21,84.90,38.73,11.30,28.74,1.10698058653449,2.192099147947328,114.66,169.2,1.4756671899529041
2026-01-15,23.05,26.1,79.3,47.04,4.09,0.95,46.90,47.04,10.80,4.09,0.90,0.95,26.10,23.65,79.30,43.01,11.30,23.05,1.1035940803382664,1.8437572657521506,118.74,164.00000000000003,1.3811689405423617
2026-01-16,26.07,25.2,84.1,47.13,3.50,0.69,46.80,47.13,9.20,3.50,0.70,0.69,25.20,23.55,84.10,40.25,11.30,26.07,1.070063694267516,2.08944099378882,115.12,165.99999999999997,1.4419735927727586
2026-01-17,7.53,19.4,29.7,47.12,2.86,0.65,46.90,47.12,7.50,2.86,0.60,0.65,19.40,18.10,29.70,15.56,11.30,7.53,1.0718232044198894,1.9087403598971722,84.29,104.1,1.2350219480365403
2026-01-18,4.67,17.5,21,45.45,2.19,0.56,45.50,45.45,5.80,2.19,0.60,0.56,17.50,17.07,21,10.25,11.30,4.67,1.0251903925014645,2.048780487804878,75.52000000000001,90.39999999999999,1.1970338983050846
2026-01-19,22.62,20.099999999999998,65.8,47.11,3.06,0.38,47,47.11,8,3.06,0.40,0.38,20.10,19.55,65.80,31.41,11.30,22.62,1.0281329923273657,2.0948742438713785,101.50999999999999,141.3,1.3919810856073296
2026-01-20,27.65,23.2,80,47.12,3.93,0.50,47,47.12,10.30,3.93,0.50,0.50,23.20,22.05,80,37.48,11.30,27.65,1.0521541950113378,2.1344717182497335,111.08000000000001,161,1.4494058336334172
2026-01-21,38.88,25.1,102.39999999999999,47.12,4.30,0.26,47,47.12,11.30,4.30,0.30,0.26,25.10,22.67,102.40,46.66,11.30,38.88,1.1071901191001323,2.194599228461209,121.00999999999999,186.10000000000002,1.5378894306255684
2026-01-22,40.05,27.000000000000004,106.40000000000002,47.11,3.32,0.15,47,47.11,8.70,3.32,0.20,0.15,27,25.29,106.40,47.19,11.30,40.05,1.0676156583629894,2.2547149819877097,123.05999999999999,189.29999999999998,1.5382740126767431
2026-01-23,40.17,26.2,105.9,47.12,2.93,0.41,47,47.12,7.70,2.93,0.40,0.41,26.20,24.53,105.90,45.46,11.30,40.17,1.0680799021606195,2.3295204575450947,120.45000000000002,187.2,1.5541718555417183
2026-01-24,9.19,19.9,37,47.12,2.27,0.24,47,47.12,6,2.27,0.20,0.24,19.90,18.98,37,21.24,11.30,9.19,1.048472075869336,1.7419962335216574,89.85,110.10000000000001,1.2253756260434059
2026-01-25,2.84,17.1,19.1,47.12,3.20,0.15,47,47.12,8.40,3.20,0.20,0.15,17.10,16.47,19.10,11.24,11.30,2.84,1.0382513661202188,1.699288256227758,78.18,91.80000000000001,1.1742133537989257
2026-01-26,31.90,22.8,82.8,47.07,3.41,0.35,46.90,47.07,9,3.41,0.30,0.35,22.80,21.70,82.80,35.65,11.30,31.90,1.0506912442396314,2.3225806451612905,108.17999999999998,161.8,1.4956553891662048
2026-01-27,27.25,23.8,69.9,47.12,3.18,1.45,47,47.12,8.40,3.18,1.50,1.45,23.80,22.46,69.90,30.94,11.30,27.25,1.0596616206589493,2.2592113768584356,105.15000000000002,150.6,1.432239657631954
2026-01-28,29.84,25.000000000000004,80.4,47.09,1.12,0.19,47,47.09,2.90,1.12,0.20,0.19,25,23.88,80.40,35.55,11.30,29.84,1.0469011725293134,2.2616033755274265,107.83,155.5,1.4420847630529539
2026-01-29,38.85,25.799999999999997,92,47.06,3.15,0.18,46.90,47.06,8.30,3.15,0.20,0.18,25.80,24.77,92,36.54,11.30,38.85,1.04158255954784,2.5177887246852766,111.70000000000002,173.2,1.5505819158460157
2026-01-30,21.90,23,61.00000000000001,47.10,1.98,0.65,46.90,47.10,5.20,1.98,0.70,0.65,23,21.75,61,28.71,11.30,21.90,1.0574712643678161,2.124695228143504,100.19000000000001,136.79999999999998,1.3654057291146817
2026-01-31,4.82,19.1,22.5,47.11,3.03,0.09,46.90,47.11,8,3.03,0.10,0.09,19.10,18.36,22.50,11.26,11.30,4.82,1.0403050108932463,1.9982238010657194,79.85,96.6,1.2097683155917345
