Date,SFOE Kernkraft,ENTSOE Nuclear,SFOE Photovoltaik,ENTSOE Solar,SFOE Wind,ENTSOE Wind,SFOE Flusskraft,ENTSOE Run-of-river,SFOE Speicherkraft,ENTSOE Reservoir,SFOE Thermische,ENTSOE Pumped
2026-01-01,47,47.09,11.40,4.33,0.80,0.81,18,17.82,25.50,7.71,11.30,3.36
2026-01-02,46.90,47.06,5.70,2.16,0.90,0.84,17.30,16.77,27.20,9.18,11.30,5.77
2026-01-03,47,47.12,3.80,1.45,0.30,0.34,16.90,16.53,24.30,8.22,11.30,4.41
2026-01-04,47,47.14,5.70,2.17,0.10,0.09,17.70,16.70,27.90,17.52,11.30,6.64
2026-01-05,47,47.12,4.90,1.87,0.10,0.12,25.30,22.84,140.30,53.41,11.30,60.72
2026-01-06,47,47.09,4.20,1.62,0.20,0.21,28.90,27.35,130.50,50.03,11.30,56.09
2026-01-07,47,47.11,5.50,2.10,0.30,0.36,25.50,23.42,95.70,46.96,11.30,30.12
2026-01-08,46.90,47.06,1.10,0.42,1,1.09,25.70,23.28,116.70,48.34,11.30,44.12
2026-01-09,46.80,46.97,4.80,1.83,1.50,1.49,25,23.21,79.70,42.65,11.30,22.03
2026-01-10,47,47.13,1.80,0.68,1.30,1.27,20.40,19.44,47.10,29.30,11.30,7.02
2026-01-11,47,47.13,2.40,0.90,0.30,0.26,17.30,16.12,24.90,14.17,11.30,3.78
2026-01-12,47,47.10,3.10,1.18,1,1.03,25.60,23.22,111.30,50.93,11.30,41.02
2026-01-13,46.90,47.08,6.40,2.45,1.20,1.26,29.40,26.01,101.80,47.42,11.30,38.94
2026-01-14,46.90,47.08,9.60,3.67,1,0.97,26.80,24.21,84.90,38.73,11.30,28.74
2026-01-15,46.90,47.04,10.80,4.09,0.90,0.95,26.10,23.65,79.30,43.01,11.30,23.05
2026-01-16,46.80,47.13,9.20,3.50,0.70,0.69,25.20,23.55,84.10,40.25,11.30,26.07
2026-01-17,46.90,47.12,7.50,2.86,0.60,0.65,19.40,18.10,29.70,15.56,11.30,7.53
2026-01-18,45.50,45.45,5.80,2.19,0.60,0.56,17.50,17.07,21,10.25,11.30,4.67
2026-01-19,47,47.11,8,3.06,0.40,0.38,20.10,19.55,65.80,31.41,11.30,22.62
2026-01-20,47,47.12,10.30,3.93,0.50,0.50,23.20,22.05,80,37.48,11.30,27.65
2026-01-21,47,47.12,11.30,4.30,0.30,0.26,25.10,22.67,102.40,46.66,11.30,38.88
2026-01-22,47,47.11,8.70,3.32,0.20,0.15,27,25.29,106.40,47.19,11.30,40.05
2026-01-23,47,47.12,7.70,2.93,0.40,0.41,26.20,24.53,105.90,45.46,11.30,40.17
2026-01-24,47,47.12,6,2.27,0.20,0.24,19.90,18.98,37,21.24,11.30,9.19
2026-01-25,47,47.12,8.40,3.20,0.20,0.15,17.10,16.47,19.10,11.24,11.30,2.84
2026-01-26,46.90,47.07,9,3.41,0.30,0.35,22.80,21.70,82.80,35.65,11.30,31.90
2026-01-27,47,47.12,8.40,3.18,1.50,1.45,23.80,22.46,69.90,30.94,11.30,27.25
2026-01-28,47,47.09,2.90,1.12,0.20,0.19,25,23.88,80.40,35.55,11.30,29.84
2026-01-29,46.90,47.06,8.30,3.15,0.20,0.18,25.80,24.77,92,36.54,11.30,38.85
2026-01-30,46.90,47.10,5.20,1.98,0.70,0.65,23,21.75,61,28.71,11.30,21.90
2026-01-31,46.90,47.11,8,3.03,0.10,0.09,19.10,18.36,22.50,11.26,11.30,4.82
